dist,K_avg,K_std,FMI_avg,FMI_std
50,1.0333333333333334,0.1795054935711501,0.713830431618288,0.04578756966900635
55,1.1333333333333333,0.33993463423951903,0.7426210771723002,0.09516604706461718
60,1.2,0.4,0.7615891171983762,0.1125419901188634
65,1.6333333333333333,0.4818944098266986,0.8886104989702824,0.13956184008187492
70,1.8,0.4,0.9377547286459473,0.11660148133992113
75,1.9333333333333333,0.24944382578492943,0.9750161056209435,0.07251071140138995
80,2.0,0.0,1.0,0.0
85,2.0,0.0,0.9983355061396045,0.005799440605017361
90,2.0,0.0,1.0,0.0
95,2.0,0.0,1.0,0.0
100,2.0,0.0,0.9996650001262519,0.001804029530502244
105,2.0,0.0,1.0,0.0
