dist,K_avg,K_std,FMI_avg,FMI_std
50,1.0,0.0,0.6250691757325626,0.013086252520611533
55,1.0333333333333334,0.1795054935711501,0.618107647029477,0.012296657347951137
60,1.0333333333333334,0.1795054935711501,0.6163801779902843,0.03974363021993301
65,1.1666666666666667,0.3726779962499649,0.6344668042576861,0.08005421441856989
70,1.7,0.5859465277082315,0.7187706962351085,0.10769259330902799
75,1.7,0.458257569495584,0.729249954472938,0.09781668369773219
80,1.8333333333333333,0.45338235029118146,0.7348499388534998,0.08224611854966933
85,1.9,0.3958114029012639,0.742472686736363,0.07140195522277477
90,1.9,0.30000000000000004,0.7451980143730642,0.06240352569218285
95,1.9,0.30000000000000004,0.7318365511156042,0.059872759460689554
100,1.8333333333333333,0.3726779962499649,0.7239019091444184,0.07243647572060131
105,1.8333333333333333,0.3726779962499649,0.7203706861948476,0.0708249553774943
