dist,K_avg,FMI_avg,FMI_std
50,1.2666666666666666,0.5342013966822657,0.02667257361195771
55,1.5,0.5601966159298108,0.06374536680276155
60,1.9666666666666666,0.6270867142292719,0.05628305934764627
65,2.066666666666667,0.6457816577413787,0.016980602089112222
70,2.1666666666666665,0.643294582760319,0.012180436769183107
75,2.2,0.6377423568110961,0.01318972911686767
80,2.1,0.6367646513708553,0.01274402301642998
85,2.066666666666667,0.6396763444079536,0.013581889906087155
90,2.2,0.6302029486035935,0.014939042124325957
95,2.1333333333333333,0.6368730061583651,0.017269385219298054
100,2.066666666666667,0.6367166785914061,0.014436603370361678
105,2.2333333333333334,0.6333482814321367,0.015504344281151937
