dist,K_avg,K_std,FMI_avg,FMI_std
60,1.0,0.0,0.5785419642971094,0.012997667389892779
65,1.0,0.0,0.5710839884398136,0.013049819570593828
70,1.2333333333333334,0.42295258468165065,0.5977348626557109,0.05966867268408409
75,1.4333333333333333,0.4955356249106168,0.6239861499231133,0.0745407383338579
80,1.8333333333333333,0.3726779962499649,0.6751142216353913,0.06036699235784101
85,1.8666666666666667,0.33993463423951903,0.6850564175532913,0.05468270803484472
90,2.0,0.0,0.7103805219001763,0.028722419428408363
95,2.0,0.0,0.7045269155212525,0.027619224458369306
100,2.0,0.0,0.7080121693416511,0.026516496355588535
105,2.0,0.0,0.7094170866072076,0.030222548844089328
110,2.0,0.0,0.7078163778388044,0.023988470345484885
115,2.0,0.0,0.7166669027761898,0.02431165897122877
120,2.0,0.0,0.7125730989968204,0.025163176123084906
