dist,K_avg,K_std,FMI_avg,FMI_std
60,1.0,0.0,0.7046207932990878,0.0014142001704176013
65,1.0,0.0,0.7040339753988347,0.00249243801181013
70,1.0,0.0,0.7048564933274908,0.0012018390441809316
75,1.0333333333333334,0.17950549357115012,0.7112077507646072,0.037607134167277956
80,1.2666666666666666,0.44221663871405326,0.7530287116496408,0.08078436091195305
85,1.5666666666666667,0.49553562491061676,0.8287778820057591,0.11047414216788136
90,1.8,0.4,0.8812203523700562,0.09611633508797758
95,1.9333333333333333,0.24944382578492943,0.9312054956226636,0.06313811622374269
100,2.0,0.0,0.964454607037204,0.018237302319201596
105,2.0,0.0,0.9659576117410882,0.01959982359621117
110,2.0,0.0,0.9779592116396099,0.01390870256777781
115,2.0,0.0,0.9799281545773352,0.014893746780307825
120,2.0,0.0,0.9856931302335077,0.012710788321021958
